 
 
 
 
#  id     pos         dens           U           pres       weightedn    weightedP    weightedU       A    hsmooth
  43   4.3000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  44   4.4000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  45   4.5000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  46   4.6000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  47   4.7000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  48   4.8000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  49   4.9000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  50   5.0000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  51   5.1000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  52   5.2000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  53   5.3000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  54   5.4000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  55   5.5000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  56   5.6000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  57   5.7000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  58   5.8000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  59   5.9000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  60   6.0000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  61   6.1000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  62   6.2000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  63   6.3000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  64   6.4000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  65   6.5000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  66   6.6000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  67   6.7000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  68   6.8000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  69   6.9000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  70   7.0000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  71   7.1000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  72   7.2000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  73   7.3000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  74   7.4000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  75   7.5000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  76   7.6000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  77   7.7000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  78   7.8000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  79   7.9000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  80   8.0000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  81   8.1000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  82   8.2000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  83   8.3000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  84   8.4000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  85   8.5000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  86   8.6000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  87   8.7000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  88   8.8000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  89   8.9000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  90   9.0000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  91   9.1000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
  92   9.2000E+00   3.0985E+02   1.0000E+00   1.0328E+02   3.0985E+02   1.0328E+02   1.0000E+00   4.9260E-02   2.4859E-01
